date,ret,outlier_iqr,outlier_z,outlier_any,ret_winsor
2020-08-18,-0.0034081042851646925,False,False,False,-0.0034081042851646925
2020-08-19,-0.006044262607765916,False,False,False,-0.006044262607765916
2020-08-20,-0.007387572634685036,False,False,False,-0.007387572634685036
2020-08-21,-0.0001346387594454157,False,False,False,-0.0001346387594454157
2020-08-24,0.01577450593766283,False,False,False,0.01577450593766283
2020-08-25,0.007513453788658309,False,False,False,0.007513453788658309
2020-08-26,0.013365593419514044,False,False,False,0.013365593419514044
2020-08-27,-0.025134666697616548,False,False,False,-0.025134666697616548
2020-08-28,0.008638463665841423,False,False,False,0.008638463665841423
2020-08-31,-0.013940521531444539,False,False,False,-0.013940521531444539
2020-09-01,0.03399441479963894,False,False,False,0.03399441479963894
2020-09-02,0.029955917366067508,False,False,False,0.029955917366067508
2020-09-03,-0.0560365624555661,False,False,False,-0.0560365624555661
2020-09-04,-0.023234699938982306,False,False,False,-0.023234699938982306
2020-09-08,-0.054624127436769476,False,False,False,-0.054624127436769476
2020-09-09,0.034604860805128146,False,False,False,0.034604860805128146
2020-09-10,-0.00659490070213975,False,False,False,-0.00659490070213975
2020-09-11,0.006246684959277937,False,False,False,0.006246684959277937
2020-09-14,0.024246177477683872,False,False,False,0.024246177477683872
2020-09-15,0.006278092798427393,False,False,False,0.006278092798427393
2020-09-16,-0.021255773409452616,False,False,False,-0.021255773409452616
2020-09-17,0.012031510891977293,False,False,False,0.012031510891977293
2020-09-18,-0.0010907277096712242,False,False,False,-0.0010907277096712242
2020-09-21,-0.010154316790006113,False,False,False,-0.010154316790006113
2020-09-22,0.005570595148890245,False,False,False,0.005570595148890245
2020-09-23,-0.019416723099946243,False,False,False,-0.019416723099946243
2020-09-24,0.007271620186985794,False,False,False,0.007271620186985794
2020-09-25,0.000888559128864097,False,False,False,0.000888559128864097
2020-09-28,0.029349720993378847,False,False,False,0.029349720993378847
2020-09-29,0.007923262276283705,False,False,False,0.007923262276283705
2020-09-30,-0.01264710186381146,False,False,False,-0.01264710186381146
2020-10-01,0.03450051171080104,False,False,False,0.03450051171080104
2020-10-02,-0.031438956653511485,False,False,False,-0.031438956653511485
2020-10-05,0.032729534715661535,False,False,False,0.032729534715661535
2020-10-06,-0.031404391255000164,False,False,False,-0.031404391255000164
2020-10-07,0.01537387064621809,False,False,False,0.01537387064621809
2020-10-08,0.013544572122349052,False,False,False,0.013544572122349052
2020-10-09,0.021265926382946,False,False,False,0.021265926382946
2020-10-12,0.025836061166168545,False,False,False,0.025836061166168545
2020-10-13,0.015311694273482113,False,False,False,0.015311694273482113
2020-10-14,-0.017573814756623007,False,False,False,-0.017573814756623007
2020-10-15,-0.028791734403831093,False,False,False,-0.028791734403831093
2020-10-16,0.0008537293668080537,False,False,False,0.0008537293668080537
2020-10-19,-0.004109639362803397,False,False,False,-0.004109639362803397
2020-10-20,-0.0009083593044516558,False,False,False,-0.0009083593044516558
2020-10-21,-0.005091420513641531,False,False,False,-0.005091420513641531
2020-10-22,-0.01958209912459319,False,False,False,-0.01958209912459319
2020-10-23,0.008149066316568643,False,False,False,0.008149066316568643
2020-10-26,-0.029242540609762058,False,False,False,-0.029242540609762058
2020-10-27,-0.003047667021317646,False,False,False,-0.003047667021317646
2020-10-28,-0.009580484241007992,False,False,False,-0.009580484241007992
2020-10-29,0.02204702882284537,False,False,False,0.02204702882284537
2020-10-30,-0.026020572381407647,False,False,False,-0.026020572381407647
2020-11-02,0.014996658529006224,False,False,False,0.014996658529006224
2020-11-03,0.018756425229560003,False,False,False,0.018756425229560003
2020-11-04,0.029403840650033652,False,False,False,0.029403840650033652
2020-11-05,0.0396604312168547,False,False,False,0.0396604312168547
2020-11-06,0.020216581969968894,False,False,False,0.020216581969968894
2020-11-09,0.00022152370586958625,False,False,False,0.00022152370586958625
2020-11-10,-0.017301173932015246,False,False,False,-0.017301173932015246
2020-11-11,0.04695720786562707,False,False,False,0.04695720786562707
2020-11-12,-0.01274977296794999,False,False,False,-0.01274977296794999
2020-11-13,0.016645576443064414,False,False,False,0.016645576443064414
2020-11-16,0.01649252488018038,False,False,False,0.01649252488018038
2020-11-17,-7.03811917798225e-05,False,False,False,-7.03811917798225e-05
2020-11-18,-0.006260670210668229,False,False,False,-0.006260670210668229
2020-11-19,-0.0010617741873922837,False,False,False,-0.0010617741873922837
2020-11-20,0.0005431819603707311,False,False,False,0.0005431819603707311
2020-11-23,0.008404514218050885,False,False,False,0.008404514218050885
2020-11-24,-0.006742559057277497,False,False,False,-0.006742559057277497
2020-11-25,-0.0018617201937853878,False,False,False,-0.0018617201937853878
2020-11-27,0.03374405297653471,False,False,False,0.03374405297653471
2020-11-30,-9.133183788256893e-05,False,False,False,-9.133183788256893e-05
2020-12-01,0.026294590377830662,False,False,False,0.026294590377830662
2020-12-02,0.0039179636527801875,False,False,False,0.0039179636527801875
2020-12-03,0.0042127475622799615,False,False,False,0.0042127475622799615
2020-12-04,0.025369985334817935,False,False,False,0.025369985334817935
2020-12-07,0.01149876545288775,False,False,False,0.01149876545288775
2020-12-08,-0.002469420390040611,False,False,False,-0.002469420390040611
2020-12-09,-0.0334635444092356,False,False,False,-0.0334635444092356
2020-12-10,0.01084164087404016,False,False,False,0.01084164087404016
2020-12-11,-0.011293249734324773,False,False,False,-0.011293249734324773
2020-12-14,0.0007953487043623753,False,False,False,0.0007953487043623753
2020-12-15,0.03600518079785897,False,False,False,0.03600518079785897
2020-12-16,0.004751742581087903,False,False,False,0.004751742581087903
