,all,filtered_no_outliers,winsorized
count,1255.0,1209.0,1255.0
mean,0.0009061987573763093,0.0011573356912912133,0.0008198474801693468
median,0.0007698650343537228,0.0007953487043623753,0.0007698650343537228
std,0.02608120983716911,0.021539624423820704,0.02444370595791534
min,-0.16261030003357113,-0.056570875548996424,-0.0657800946533667
max,0.15434100658760563,0.0595065835518116,0.06519911284179133
