date,open,high,low,close,adjusted_close,volume,ret,log_ret,ret_lag1,ma_5,ma_21,mom_5,mom_21,rsi_14,vol_21,range,range_21,dow,month,is_month_end,is_quarter_end,dow_0,dow_1,dow_2,dow_3,dow_4,ret_x_vol21,y_next_ret,y_next_up
2020-08-17,376.6600036621094,380.5,376.25,378.510009765625,364.9192504882813,428200,,,,,,,,,,0.011228236744998153,,0,8,0,0,1,0,0,0,0,,-0.0034081042851646925,0
2020-08-18,383.6099853515625,383.9800109863281,376.989990234375,377.2200012207031,363.6755676269531,466500,-0.0034081042851646925,-0.003413925101636295,,,,,,,,0.018530355573227988,,1,8,0,0,0,1,0,0,0,,-0.006044262607765916,0
2020-08-19,380.3900146484375,380.4299926757813,373.9599914550781,374.9400024414063,361.4774169921875,354400,-0.006044262607765916,-0.006062603103528907,-0.0034081042851646925,,,,,,,0.017256097451789718,,2,8,0,0,0,0,1,0,0,,-0.007387572634685036,0
2020-08-20,369.5400085449219,373.3800048828125,368.3800048828125,372.1700134277344,358.8069763183594,498200,-0.007387572634685036,-0.007414995893756604,-0.006044262607765916,,,,,,,0.013434720207437852,,3,8,0,0,0,0,0,1,0,,-0.0001346387594454157,0
2020-08-21,366.1499938964844,372.1300048828125,365.5400085449219,372.1199951171875,358.7586669921875,605400,-0.0001346387594454157,-0.0001346478240566995,-0.007387572634685036,361.52757568359374,,-0.007658914222990143,,,,0.017709331463941658,,4,8,0,0,0,0,0,0,1,,0.01577450593766283,1
2020-08-24,380.25,380.7999877929688,374.5299987792969,377.989990234375,364.41790771484375,590700,0.01577450593766283,0.015651381548561716,-0.0001346387594454157,361.42730712890625,,0.00827441791737904,,,,0.016587711779838896,,0,8,0,0,1,0,0,0,0,,0.007513453788658309,1
2020-08-25,379.2999877929688,380.8299865722656,376.2699890136719,380.8299865722656,367.1559448242188,378200,0.007513453788658309,0.00748536838592706,0.01577450593766283,362.1233825683594,,0.013897368957966671,,,,0.011973840609656018,,1,8,0,0,0,1,0,0,0,,0.013365593419514044,1
2020-08-26,380.0899963378906,386.6700134277344,380.0799865722656,385.9200134277344,372.0632019042969,417600,0.013365593419514044,0.013277061854640948,0.007513453788658309,364.24053955078125,,0.0214766383861702,,,,0.017076146937641958,,2,8,0,0,0,0,1,0,0,,-0.025134666697616548,0
2020-08-27,386.7200012207031,386.7999877929688,373.239990234375,376.2200012207031,362.7115173339844,636100,-0.025134666697616548,-0.025455937213555657,0.013365593419514044,365.0214477539063,,-0.006328204641496082,,,,0.03604273434319369,,3,8,0,0,0,0,0,1,0,,0.008638463665841423,1
2020-08-28,376.1199951171875,379.8900146484375,374.7999877929688,379.4700012207031,365.84478759765625,490200,0.008638463665841423,0.008601365632172175,-0.025134666697616548,366.438671875,,-0.0016206921455778067,,,,0.013413515795964826,,4,8,0,0,0,0,0,0,1,,-0.013940521531444539,0
2020-08-31,375.9200134277344,378.4400024414063,373.30999755859375,374.1799926757813,360.7447204589844,533300,-0.013940521531444539,-0.014038603208438083,0.008638463665841423,365.70403442382815,,-0.013561004249398656,,,,0.013709992472145865,,0,8,1,0,1,0,0,0,0,,0.03399441479963894,1
2020-09-01,384.1099853515625,386.8999938964844,382.3299865722656,386.8999938964844,373.0080261230469,634500,0.03399441479963894,0.03342937452391048,-0.013940521531444539,366.87445068359375,,0.01671845893881274,,,,0.01181185680101474,,1,9,0,0,0,1,0,0,0,,0.029955917366067508,1
2020-09-02,395.6600036621094,401.1499938964844,390.489990234375,398.489990234375,384.1818237304688,904300,0.029955917366067508,0.02951600265193477,0.03399441479963894,369.29817504882817,,0.04030252432109305,,,,0.026750994813795975,,2,9,0,0,0,0,1,0,0,,-0.0560365624555661,0
2020-09-03,389.1000061035156,389.30999755859375,370.0799865722656,376.1600036621094,362.6535949707031,1258500,-0.0560365624555661,-0.057667845001511786,0.029955917366067508,369.2865905761719,,-0.017961647605778897,,,,0.05112189174583732,,3,9,0,0,0,0,0,1,0,,-0.023234699938982306,0
2020-09-04,365.5,371.0,352.8599853515625,367.4200134277344,354.2274475097656,1206300,-0.023234699938982306,-0.023508880914695496,-0.0560365624555661,366.96312255859374,,-0.034705599189451486,,44.08911351127735,,0.04937132977380763,,4,9,0,0,0,0,0,0,1,,-0.054624127436769476,0
2020-09-08,345.3699951171875,353.3900146484375,343.25,347.3500061035156,334.8780822753906,1541000,-0.054624127436769476,-0.056172681825297666,-0.023234699938982306,361.789794921875,,-0.07438494126761008,,36.7350524814177,,0.029192498834779406,,1,9,0,0,0,1,0,0,0,,0.034604860805128146,1
2020-09-09,357.9700012207031,361.5400085449219,353.510009765625,359.3699951171875,346.46649169921875,847300,0.034604860805128146,0.03401957682206369,-0.054624127436769476,356.4814880371094,,-0.028094015184452092,,43.636071001801504,,0.02234465561510877,,2,9,0,0,0,0,1,0,0,,-0.00659490070213975,0
2020-09-10,364.2699890136719,366.80999755859375,355.0299987792969,357.0,344.1815795898437,678600,-0.00659490070213975,-0.006616743145234416,0.034604860805128146,348.4814392089844,,-0.012338848315425088,,43.779181686135175,,0.03299719546021534,,3,9,0,0,0,0,0,1,0,,0.006246684959277937,1
2020-09-11,364.0,367.1499938964844,357.5899963378906,359.2300109863281,346.3315734863281,678700,0.006246684959277937,0.00622725529480217,-0.00659490070213975,345.2170349121094,,0.0032285155757232342,,44.80705914819199,,0.02661246907613627,,4,9,0,0,0,0,0,0,1,,0.024246177477683872,1
2020-09-14,369.7699890136719,369.9800109863281,365.3599853515625,367.9400024414063,354.7287902832031,575700,0.024246177477683872,0.02395690541706852,0.006246684959277937,345.3173034667969,,0.027254605320729874,,46.04175856015077,,0.012556464652144895,,0,9,0,0,1,0,0,0,0,,0.006278092798427393,1
2020-09-15,374.5499877929688,374.760009765625,369.1000061035156,370.25,356.955810546875,717100,0.006278092798427393,0.006258467669923107,0.024246177477683872,349.73284912109375,359.9137704031808,0.020652796681619012,-0.00821852371192211,45.815524417182075,,0.015286978155595881,0.02214328658610823,1,9,0,0,0,1,0,0,0,,-0.021255773409452616,0
2020-09-16,372.0,372.9800109863281,362.3599853515625,362.3800048828125,349.3684387207031,973900,-0.021255773409452616,-0.021484930452583484,0.006278092798427393,350.3132385253906,359.1732555571057,-0.002697014274038012,-0.027298293190550993,40.89008547611629,0.02499739303430082,0.029306323449606334,0.023004147857756237,2,9,0,0,0,0,1,0,0,-0.0005313389221641274,0.012031510891977293,1
2020-09-17,355.510009765625,367.6300048828125,355.1400146484375,366.739990234375,353.5718688964844,901000,0.012031510891977293,0.011959707625557314,-0.021255773409452616,352.19129638671876,358.69212704613096,0.003919950674333705,-0.014274799371295055,46.173078348339224,0.025173250931019592,0.034056799277310715,0.023743502319855416,3,9,0,0,0,0,0,1,0,0.00030287224276303974,-0.0010907277096712242,0
2020-09-18,370.2900085449219,370.9100036621094,359.92999267578125,366.3399963378906,353.18621826171875,912200,-0.0010907277096712242,-0.0010913229860349816,0.012031510891977293,353.5622253417969,358.29730805896577,-0.0010634820496296937,-0.014264940545983373,44.57481749342642,0.025147161498539808,0.029972187301658442,0.0243490304079444,4,9,0,0,0,0,0,0,1,-2.7428705866034716e-05,-0.010154316790006113,0
2020-09-21,355.3099975585937,363.0,352.57000732421875,362.6199951171875,349.599853515625,657900,-0.010154316790006113,-0.010206223548817839,-0.0010907277096712242,352.53643798828125,357.85887363978793,-0.008329875031964362,-0.023078986529411205,45.160768828140014,0.025190614641651198,0.02876287247318119,0.025078942420598847,0,9,0,0,1,0,0,0,0,-0.00025579348120629257,0.005570595148890245,1
2020-09-22,363.989990234375,365.1000061035156,358.7300109863281,364.6400146484375,351.5473327636719,971200,0.005570595148890245,0.005555136765426738,-0.010154316790006113,351.4547424316406,357.5154767717634,0.0002634488053585571,-0.01669338642897855,39.76457581203795,0.02523036664846968,0.017469270681466597,0.0250675109547667,1,9,0,0,0,1,0,0,0,0.00014054815805668745,-0.019416723099946243,0
2020-09-23,365.2099914550781,366.5799865722656,356.92999267578125,357.5599975585937,344.721435546875,709800,-0.019416723099946243,-0.019607703856933334,0.005570595148890245,350.525341796875,356.57754952566967,-0.016557736511282783,-0.0332497488823007,30.365521593647188,0.0252529444138057,0.026988460572698773,0.025562784706807645,2,9,0,0,0,0,1,0,0,-0.0004903294291411995,0.007271620186985794,1
2020-09-24,354.6499938964844,363.5899963378906,353.67999267578125,360.1600036621094,347.2281188964844,768400,0.007271620186985794,0.0072453094278213115,-0.019416723099946243,349.256591796875,355.6286054338728,-0.005807973129309918,-0.023621515280357386,40.53256144651611,0.02524828341082631,0.027515558533275183,0.026302866512694274,3,9,0,0,0,0,0,1,0,0.00018359592733690314,0.000888559128864097,1
2020-09-25,352.82000732421875,361.1099853515625,351.0899963378906,360.4800109863281,347.5366516113281,724100,0.000888559128864097,0.000888164593895624,0.007271620186985794,348.1266784667969,354.4606744675409,-0.0016948625082895408,-0.019533966261881752,45.4390262777525,0.025005695146350773,0.027796240313729632,0.02681334714965083,4,9,0,0,0,0,0,0,1,2.2219038695882624e-05,0.029349720993378847,1
2020-09-28,365.8999938964844,371.489990234375,364.3500061035156,371.05999755859375,357.7367553710937,821900,0.029349720993378847,0.02892726402187673,0.000888559128864097,349.75405883789057,354.2237810407366,0.02282374237407514,0.00991738702589573,67.80296386086248,0.02541106339203419,0.0192421284370108,0.026013318296975455,0,9,0,0,1,0,0,0,0,0.0007458076207012666,0.007923262276283705,1
2020-09-29,370.0700073242188,375.8800048828125,369.5700073242188,374.0,360.5711975097656,608800,0.007923262276283705,0.0078920380570775,0.029349720993378847,351.5588317871094,353.97265770321803,0.025635441092015432,0.018641382781830584,62.719524445117145,0.025398895858994963,0.016871651226186345,0.026177991412700292,1,9,0,0,0,1,0,0,0,0.00020124211341883319,-0.01264710186381146,0
2020-09-30,368.7799987792969,373.25,367.5,369.2699890136719,356.0110168457031,867800,-0.01264710186381146,-0.012727757215805546,0.007923262276283705,353.816748046875,353.7472432454427,0.006201709814306122,0.00639940987099008,60.24719503896892,0.025365915567878677,0.015571262683323858,0.02626662332751829,2,9,1,1,0,0,1,0,0,-0.0003208053180558026,0.03450051171080104,1
2020-10-01,375.5299987792969,382.6499938964844,374.4200134277344,382.010009765625,368.2935791015625,891600,0.03450051171080104,0.03391871284886783,-0.01264710186381146,358.02984008789065,353.5227457682292,0.028667272569102842,0.041781847165831554,66.18353381412743,0.025400363138487682,0.021543886962017953,0.02673005333518511,3,10,0,0,0,0,0,1,0,0.0008763255259179934,-0.031438956653511485,0
