,baseline,with_transform
r2_train,0.013482485687856371,0.014848422177606846
r2_test,0.008560342200336857,0.013374336056565461
rmse_train,0.025600323492960222,0.025582594193559176
rmse_test,0.02717785491415839,0.027111792784008392
added_term,,mom_21_sq
